"State","Population","Violent.crime.total","Murder.and.nonnegligent.Manslaughter","Legacy.rape..1","Revised.rape..2","Robbery","Aggravated.assault","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft","Violent.Crime.rate","Murder.and.nonnegligent.manslaughter.rate","Legacy.rape.rate..1","Revised.rape.rate..2","Robbery.rate","Aggravated.assault.rate","Property.crime.rate","Burglary.rate","Larceny.theft.rate","Motor.vehicle.theft.rate","Year"
"Massachusetts",6708874,27264,138,1722,2303,6705,18118,137274,30716,97437,9121,406.4,2.1,25.7,34.3,99.9,270.1,2046.2,457.8,1452.4,136,"2013"
"Michigan",9898193,44757,625,4506,6785,10093,27254,230135,56256,149794,24085,452.2,6.3,45.5,68.5,102,275.3,2325,568.3,1513.3,243.3,"2013"
"Minnesota",5422060,12710,114,1453,2014,3674,6908,131193,22713,100514,7966,234.4,2.1,26.8,37.1,67.8,127.4,2419.6,418.9,1853.8,146.9,"2013"
"Mississippi",2992206,8303,217,726,1024,2413,4649,81548,24969,52192,4387,277.5,7.3,24.3,34.2,80.6,155.4,2725.3,834.5,1744.3,146.6,"2013"
"Missouri",6044917,26216,369,1679,2305,5486,18056,189655,38797,134514,16344,433.7,6.1,27.8,38.1,90.8,298.7,3137.4,641.8,2225.2,270.4,"2013"
"Montana",1014864,2924,23,382,467,217,2217,26195,4122,20192,1881,288.1,2.3,37.6,46,21.4,218.5,2581.1,406.2,1989.6,185.3,"2013"
"Nebraska",1868969,4949,56,621,847,1035,3011,49197,8945,35791,4461,264.8,3,33.2,45.3,55.4,161.1,2632.3,478.6,1915,238.7,"2013"
"Nevada",2791494,16888,163,1090,1482,5183,10060,79177,23047,46132,9998,605,5.8,39,53.1,185.7,360.4,2836.4,825.6,1652.6,358.2,"2013"
"New Hampshire",1322616,2952,21,522,778,647,1506,29278,4979,23355,944,223.2,1.6,39.5,58.8,48.9,113.9,2213.6,376.5,1765.8,71.4,"2013"
"New Jersey",8911502,25748,404,861,1189,12084,12071,167634,35883,118005,13746,288.9,4.5,9.7,13.3,135.6,135.5,1881.1,402.7,1324.2,154.3,"2013"
"New Mexico",2086895,12990,123,1135,1565,1832,9470,78958,21828,51146,5984,622.5,5.9,54.4,75,87.8,453.8,3783.5,1046,2450.8,286.7,"2013"
"New York",19695680,77563,644,2575,3548,27241,46130,358603,56444,286676,15483,393.8,3.3,13.1,18,138.3,234.2,1820.7,286.6,1455.5,78.6,"2013"
"North Carolina",9848917,33587,463,1790,2524,9275,21325,305631,90182,201043,14406,341,4.7,18.2,25.6,94.2,216.5,3103.2,915.7,2041.3,146.3,"2013"
"North Dakota",723857,1979,16,288,355,161,1447,15356,2979,10942,1435,273.4,2.2,39.8,49,22.2,199.9,2121.4,411.5,1511.6,198.2,"2013"
"Ohio",11572005,33722,478,3594,4391,14483,14370,338414,91090,227799,19525,291.4,4.1,31.1,37.9,125.2,124.2,2924.4,787.2,1968.5,168.7,"2013"
"Oklahoma",3853118,17187,198,1715,2314,3023,11652,126418,33512,81624,11282,446.1,5.1,44.5,60.1,78.5,302.4,3280.9,869.7,2118.4,292.8,"2013"
"Oregon",3928068,9536,82,1000,1464,2394,5596,125083,20808,94363,9912,242.8,2.1,25.5,37.3,60.9,142.5,3184.3,529.7,2402.3,252.3,"2013"
"Pennsylvania",12781296,42825,611,2728,3795,14739,23680,263176,52000,197410,13766,335.1,4.8,21.3,29.7,115.3,185.3,2059.1,406.8,1544.5,107.7,"2013"
"Rhode Island",1053354,2710,31,333,449,683,1547,25741,5621,17881,2239,257.3,2.9,31.6,42.6,64.8,146.9,2443.7,533.6,1697.5,212.6,"2013"
"South Carolina",4771929,24263,305,1739,2233,3965,17760,173261,40930,119730,12601,508.5,6.4,36.4,46.8,83.1,372.2,3630.8,857.7,2509,264.1,"2013"
"South Dakota",845510,2733,18,454,507,156,2052,16274,3383,11955,936,323.2,2.1,53.7,60,18.5,242.7,1924.8,400.1,1413.9,110.7,"2013"
"Tennessee",6497269,38063,335,1904,2500,7333,27895,207683,51334,144443,11906,585.8,5.2,29.3,38.5,112.9,429.3,3196.5,790.1,2223.1,183.2,"2013"
"Texas",26505637,108757,1140,7610,10456,31810,65351,862289,191062,605440,65787,410.3,4.3,28.7,39.4,120,246.6,3253.2,720.8,2284.2,248.2,"2013"
"Utah",2902787,6644,51,926,1522,1247,3824,88334,13727,67115,7492,228.9,1.8,31.9,52.4,43,131.7,3043.1,472.9,2312.1,258.1,"2013"
"Vermont",626855,775,10,113,136,75,554,13882,3352,10193,337,123.6,1.6,18,21.7,12,88.4,2214.5,534.7,1626.1,53.8,"2013"
"Virginia",8270345,16355,320,1476,2350,4574,9111,171558,26717,136215,8626,197.8,3.9,17.8,28.4,55.3,110.2,2074.4,323,1647,104.3,"2013"
"Washington",6973742,20223,167,2072,2604,5829,11623,259139,58487,172227,28425,290,2.4,29.7,37.3,83.6,166.7,3715.9,838.7,2469.6,407.6,"2013"
"West Virginia",1853595,5657,62,367,700,653,4242,39929,9908,28055,1966,305.2,3.3,19.8,37.8,35.2,228.9,2154.1,534.5,1513.5,106.1,"2013"
"Wisconsin",5742953,16118,163,1308,1836,4834,9285,125694,24358,93946,7390,280.7,2.8,22.8,32,84.2,161.7,2188.7,424.1,1635.8,128.7,"2013"
"Wyoming",583223,1212,17,144,204,74,917,12809,1956,10275,578,207.8,2.9,24.7,35,12.7,157.2,2196.2,335.4,1761.8,99.1,"2013"
"Alabama",4849377,20727,276,1436,2005,4701,13745,154094,39715,104238,10141,427.4,5.7,29.6,41.3,96.9,283.4,3177.6,819,2149.5,209.1,"2014"
"Alaska",736732,4684,41,555,771,629,3243,20334,3150,15445,1739,635.8,5.6,75.3,104.7,85.4,440.2,2760,427.6,2096.4,236,"2014"
"Arizona",6731484,26916,319,2464,3378,6249,16970,215240,43562,154091,17587,399.9,4.7,36.6,50.2,92.8,252.1,3197.5,647.1,2289.1,261.3,"2014"
"Arkansas",2966369,14243,165,1182,1763,2050,10265,99018,24790,68627,5601,480.1,5.6,39.8,59.4,69.1,346,3338,835.7,2313.5,188.8,"2014"
"California",38802500,153709,1699,8398,11527,48680,91803,947192,202670,592670,151852,396.1,4.4,21.6,29.7,125.5,236.6,2441.1,522.3,1527.4,391.3,"2014"
"Colorado",5355866,16554,151,2121,3039,3039,10325,135510,23472,99464,12574,309.1,2.8,39.6,56.7,56.7,192.8,2530.1,438.2,1857.1,234.8,"2014"
